sample	MDS1	MDS2	label	preparation	kit	site	cent1	cent2	dist
11O_S68	-2.05753131128978	-0.50502974467992	NA	HostZero kit oral swab	HostZero	oral swab	-2.16052682796504	-0.743692683846699	0.259938598493816
11R_S67	0.124163060602382	-0.936253545165131	NA	HostZero kit rectal swab	HostZero	rectal swab	0.290874415131298	-0.287888837525701	0.669454606258878
11V_S66	4.45201176002745	-1.00073526750105	HostZero: vaginal	HostZero kit vaginal swab	HostZero	vaginal swab	2.42385445481205	0.185197381030877	2.34943786926842
12O_S35	-2.70015957661347	-0.950911834743144	NA	PowerSoil Pro Kit oral swab	PowerSoil	oral swab	-2.60544719182802	-1.3372045069608	0.397734163029537
12R_S34	0.439213335286548	-1.39742751493761	NA	PowerSoil Prok Kit rectal swab	PowerSoil	rectal swab	0.363557005595347	-1.30123781697912	0.122377850184131
12V_S33	3.71126370109846	-0.489520882583061	NA	Power Soil Pro Kit vaginal swab	PowerSoil	vaginal swab	2.99500148116633	0.076421726289399	0.912865052589631
13O_S6	-2.40682733426059	-1.03825395355536	NA	DNeasy kit oral swab	DNeasy	oral swab	-2.45323750509788	-1.33390503018499	0.299271554059862
13R_S7	0.532534631528455	-1.42018316482487	NA	DNeasy kit rectal swab	DNeasy	rectal swab	0.451470461346384	-1.31322104262881	0.134209892601078
13V_S8	3.68978048986514	-0.283354648656629	NA	DNeasy kit vaginal swab	DNeasy	vaginal swab	3.02629814380164	-0.01235090610079	0.716695089990995
14O_S46	-2.44459965660646	-0.881781990626977	NA	PureLink kit oral swab	PureLink	oral swab	-2.35912519230553	-1.02314802480045	0.165197577662228
14R_S47	0.610090988613781	-1.61242593107073	NA	PureLink kit rectal swab	PureLink	rectal swab	0.505423335178854	-1.21639089911317	0.409632840740585
14V_S48	3.7097198956208	-0.424618710508269	NA	PureLink kit vaginal swab	PureLink	vaginal swab	3.00062792473848	-0.0475891655501703	0.80309569849495
21O_S21	-2.71427720240347	-2.03063898094729	NA	PowerSoil Pro Kit oral swab	PowerSoil	oral swab	-2.60544719182802	-1.3372045069608	0.70192260322258
21R_S40	0.611493031301503	-1.09960162045889	NA	PowerSoil Prok Kit rectal swab	PowerSoil	rectal swab	0.363557005595347	-1.30123781697912	0.319576952532731
21V_S39	2.97741039225443	0.87434549286371	NA	Power Soil Pro Kit vaginal swab	PowerSoil	vaginal swab	2.99500148116633	0.076421726289399	0.798117650270461
22O_S9	-2.00930278539932	-2.13703891510552	NA	DNeasy kit oral swab	DNeasy	oral swab	-2.45323750509788	-1.33390503018499	0.917661196990138
22R_S10	0.372478109339072	-1.68619423643434	NA	DNeasy kit rectal swab	DNeasy	rectal swab	0.451470461346384	-1.31322104262881	0.381246370439304
22V_S11	2.97741039225443	0.87434549286371	NA	DNeasy kit vaginal swab	DNeasy	vaginal swab	3.02629814380164	-0.01235090610079	0.888043082394065
23O_S49	-1.99930293059578	-1.6954937206802	NA	PureLink kit oral swab	PureLink	oral swab	-2.35912519230553	-1.02314802480045	0.762575107638546
23R_S50	0.570953448255058	-1.00688634788548	NA	PureLink kit rectal swab	PureLink	rectal swab	0.505423335178854	-1.21639089911317	0.219513900937725
23V_S51	2.97741039225443	0.87434549286371	NA	PureLink kit vaginal swab	PureLink	vaginal swab	3.00062792473848	-0.0475891655501703	0.922226961327506
24O_S74	-2.42533000076347	-1.53672117166144	NA	HostZero kit oral swab	HostZero	oral swab	-2.16052682796504	-0.743692683846699	0.836071111096332
24R_S73	0.345865030020609	-0.925558836284516	NA	HostZero kit rectal swab	HostZero	rectal swab	0.290874415131298	-0.287888837525701	0.640036713824271
24V_S72	2.97741039225443	0.87434549286371	NA	HostZero kit vaginal swab	HostZero	vaginal swab	2.42385445481205	0.185197381030877	0.883939644953478
31O_S12	-2.70587412781186	-1.52008360559946	NA	DNeasy kit oral swab	DNeasy	oral swab	-2.45323750509788	-1.33390503018499	0.313827540346109
31R_S13	0.357178365149459	-0.480662787639642	NA	DNeasy kit rectal swab	DNeasy	rectal swab	0.451470461346384	-1.31322104262881	0.837880807368099
